"Variable_Statistic","Before","After"
"Median.RBC.Age_mean",16.6483516483516,17.0893847283629
"Median.RBC.Age_sd",6.25976935249831,6.21046191588563
"Median.RBC.Age_min",10,10
"Median.RBC.Age_max",25,25
"Age_mean",61.1243445692884,61.219343670684
"Age_sd",7.2085662700914,6.71586198224988
"Age_min",38.4,38.4
"Age_max",79,79
"PVol_mean",56.0528735632184,56.5759451154608
"PVol_sd",31.2605434733521,28.7864879914591
"PVol_min",19.4,19.4
"PVol_max",274,274
"PreopPSA_mean",8.2160516605166,8.16797324377721
"PreopPSA_sd",6.01128361077509,5.65954242605797
"PreopPSA_min",1.3,1.3
"PreopPSA_max",39,39
"Units_mean",2.45421245421245,2.44611386309206
"Units_sd",1.83278722939316,1.71269899752707
"Units_min",1,1
"Units_max",19,19
"TimeToRecurrence_mean",32.5004887218045,33.1225354966766
"TimeToRecurrence_sd",28.1110046561683,26.2417017447382
"TimeToRecurrence_min",0.27,0.27
"TimeToRecurrence_max",103.6,103.6
